,tweet_id,tweet_url,username,is_retweet,is_pinned,time,ts,text,replies,retweets,likes,timestamp_ms
106,11155374466,/StocksDoc/status/11155374466#m,StocksDoc,0.0,0.0,2010-03-27 06:06:00+00:00,1269669960000.0,Friday March 26 2010 Most Actives $AAPL $SPY $QQQQ $BAC $MSFT $IWM ... http://bit.ly/a5dJEy,0.0,0.0,0.0,1269669960000.0
107,11154795958,/TraderFlorida/status/11154795958#m,TraderFlorida,0.0,0.0,2010-03-27 05:52:00+00:00,1269669120000.0,"http://chart.ly/gq7hmw $SPY - same for for the SPY, cont's to ride this uptrend channel - a rest or sideway action is needed",0.0,0.0,1.0,1269669120000.0
108,11137299257,/koolaidluke/status/11137299257#m,koolaidluke,0.0,0.0,2010-03-27 09:48:00+00:00,1269683280000.0,http://chart.ly/vf9ke5 $SPY - 200 week MA was support in '08 but is now acting as resistance.,0.0,0.0,0.0,1269683280000.0
109,11126329996,/Eagle999999999/status/11126329996#m,Eagle999999999,0.0,0.0,2010-03-27 03:35:00+00:00,1269660900000.0,$SPY SPY Still In The Channel. http://fsc.bz/3Wv #WORDEN,0.0,0.0,0.0,1269660900000.0
110,11116988227,/STtrending/status/11116988227#m,STtrending,0.0,0.0,2010-03-27 12:03:00+00:00,1269691380000.0,Trending now on StockTwits: $AAPL $T $ABIO $RIMM $SPY $IOC $GS $AMZN $WBD $RSX,0.0,0.0,0.0,1269691380000.0
111,11116899232,/psychotrader/status/11116899232#m,psychotrader,0.0,0.0,2010-03-27 12:01:00+00:00,1269691260000.0,why $spy and $qqqq run up till 8pm after hours??? never seen that so quick and up big??? news???,0.0,0.0,0.0,1269691260000.0
112,11161865718,/tecktrdr/status/11161865718#m,tecktrdr,0.0,0.0,2010-03-27 09:02:00+00:00,1269680520000.0,$spy ...day off... a couple excellnt coffees -great C.O.D. session -stimulus package coming 30th.... cant wait,0.0,0.0,0.0,1269680520000.0
113,11155374466,/StocksDoc/status/11155374466#m,StocksDoc,0.0,0.0,2010-03-27 06:06:00+00:00,1269669960000.0,Friday March 26 2010 Most Actives $AAPL $SPY $QQQQ $BAC $MSFT $IWM ... http://bit.ly/a5dJEy,0.0,0.0,0.0,1269669960000.0
114,11154795958,/TraderFlorida/status/11154795958#m,TraderFlorida,0.0,0.0,2010-03-27 05:52:00+00:00,1269669120000.0,"http://chart.ly/gq7hmw $SPY - same for for the SPY, cont's to ride this uptrend channel - a rest or sideway action is needed",0.0,0.0,1.0,1269669120000.0
115,11137299257,/koolaidluke/status/11137299257#m,koolaidluke,0.0,0.0,2010-03-27 09:48:00+00:00,1269683280000.0,http://chart.ly/vf9ke5 $SPY - 200 week MA was support in '08 but is now acting as resistance.,0.0,0.0,0.0,1269683280000.0
116,11126329996,/Eagle999999999/status/11126329996#m,Eagle999999999,0.0,0.0,2010-03-27 03:35:00+00:00,1269660900000.0,$SPY SPY Still In The Channel. http://fsc.bz/3Wv #WORDEN,0.0,0.0,0.0,1269660900000.0
117,11116988227,/STtrending/status/11116988227#m,STtrending,0.0,0.0,2010-03-27 12:03:00+00:00,1269691380000.0,Trending now on StockTwits: $AAPL $T $ABIO $RIMM $SPY $IOC $GS $AMZN $WBD $RSX,0.0,0.0,0.0,1269691380000.0
118,11116899232,/psychotrader/status/11116899232#m,psychotrader,0.0,0.0,2010-03-27 12:01:00+00:00,1269691260000.0,why $spy and $qqqq run up till 8pm after hours??? never seen that so quick and up big??? news???,0.0,0.0,0.0,1269691260000.0
